"","numero","refugio","municipio","direccion","uso_inmueble","servicios","capacidad","latitud","longitud","altitud","responsable","telefono","latitud_decimal","longitud_decimal"
"163-182.20",182,"SALON EJIDAL","SAN PEDRO LAGUNILLAS","TEQUILITA","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",72,"21º05'19.66""","104º47'55.38""",900,"SILVERIO GONZALEZ","200-1247903, 1297904, 1297905",21.0887944444444,-104.798716666667
"183-202.1",183,"TELESECUNDARIA","SAN PEDRO LAGUNILLAS","TEQUILITA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",78,"21º05'19.66""","104º47'55.38""",900,"DIRECTOR DEL PLANTEL","200-1247903, 1297904, 1297905",21.0887944444444,-104.798716666667
"183-202.2",184,"ESCUELA PRIMARIA","SAN PEDRO LAGUNILLAS","TEQUILITA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",112,"21º05'19.66""","104º47'55.38""",900,"PROFRA. CARMINA GONZALEZ AGUIRRE","200-1247903, 1297904, 1297905",21.0887944444444,-104.798716666667
"183-202.3",185,"JARDIN DE NIÑOS","SAN PEDRO LAGUNILLAS","TEQUILITA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",21,"21º05'19.66""","104º47'55.38""",900,"PROFRA. KARINE AGUIRRE","200-1247903, 1297904, 1297905",21.0887944444444,-104.798716666667
"183-202.4",186,"ESC. PRIM. ""ADOLFO LOPEZ MATEOS""","SANTA MARIA DEL ORO","LA LABOR","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",60,"21°22'19.24""","104°43'11.88""",1060,"FRANCISCO BUENO CONTRERAS","3272190276",21.3720111111111,-104.719966666667
"183-202.5",187,"ESC. SEC. ""EMILIANA ZAPATA""","SANTA MARIA DEL ORO","LA LABOR","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",30,"21°22'19.24""","104°43'11.88""",1060,"FRANCISCO BUENO CONTRERAS","3272190276",21.3720111111111,-104.719966666667
"183-202.6",188,"ESC. PRIM. ""JUSTO SIERRA""","SANTA MARIA DEL ORO","SANTA MARIA DEL ORO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",110,"21°19'54.80""","104°35'08.07""",1160,"DIRECTOR DEL PLANTEL","PCM: 327-2440190  CEL. 3118908620",21.3318888888889,-104.585575
"183-202.7",189,"ESC. SEC. ""RAMON CORONA""","SANTA MARIA DEL ORO","SANTA MARIA DEL ORO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",60,"21°20'10.95""","104°35'05.68""",1160,"DIRECTOR DEL PLANTEL","PCM: 327-2440190  CEL. 3118908620",21.336375,-104.584911111111
"183-202.8",190,"PRE-ESCOLAR ""SALVADOR CERVANTES""","SANTA MARIA DEL ORO","SANTA MARIA DEL ORO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",30,"21°59'18.90""","104°35'08.00""",1160,"DIRECTOR DEL PLANTEL","PCM: 327-2440190  CEL. 3118908620",21.9885833333333,-104.585555555556
"183-202.9",191,"ESC. PRIM. ""VENUSTIANO CARRANZA""","SANTA MARIA DEL ORO","BUCKINGHAM","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",60,"21°30'04.62""","104°37'23.22""",660,"AUDON CONCHAS HERNANDEZ","2001248016",21.5012833333333,-104.623116666667
"183-202.10",192,"ESC. SEC. FRANCISCO IBARRA NOLASCO","SANTA MARIA DEL ORO","BUCKINGHAM","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",30,"21°30'04.62""","104°37'23.22""",660,"AUDON CONCHAS HERNANDEZ","2001248017",21.5012833333333,-104.623116666667
"183-202.11",193,"PRE-ESCOLAR TENOCHTITLAN","SANTA MARIA DEL ORO","BUCKINGHAM","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",30,"21°30'04.62""","104°37'23.22""",660,"AUDON CONCHAS HERNANDEZ","2001248018",21.5012833333333,-104.623116666667
"183-202.12",194,"ESC. PRIM. 20 DE NOVIEMBRE","SANTA MARIA DEL ORO","COL. EL AHUALAMO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",60,"21°10'09.12""","104°37'19.33""",820,"RODOLFO LUCIAN","PCM: 327-2440190  CEL. 3118908620",21.1692,-104.622036111111
"183-202.13",195,"PRE-ESCOLAR ""ENRIQUE C. REBSAMEN","SANTA MARIA DEL ORO","COL. EL AHUALAMO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",30,"21°10'09.12""","104°37'19.33""",820,"RODOLFO LUCIAN","PCM: 327-2440190  CEL. 3118908620",21.1692,-104.622036111111
"183-202.14",196,"ESC. PRIM. AQUILES SERDAN","SANTA MARIA DEL ORO","COL. MODERNA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",60,"21°28'04.10""","104°39'22.40""",840,"MANUEL ULLOA PEREZ","3272193048",21.4678055555556,-104.656222222222
"183-202.15",197,"ESC. SEC. PEDRO ORTEGA ULLOA","SANTA MARIA DEL ORO","COL. MODERNA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",30,"21°28'04.10""","104°39'22.40""",840,"MANUEL ULLOA PEREZ","3272193046",21.4678055555556,-104.656222222222
"183-202.16",198,"PRE-ESCOLAR ESTEBAN BACA CALDERÓN","SANTA MARIA DEL ORO","COL. MODERNA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",30,"21°28'04.10""","104°39'22.40""",840,"MANUEL ULLOA PEREZ","3272193046",21.4678055555556,-104.656222222222
"183-202.17",199,"ESC. PRIM. ""20 DE NOVIEMBRE""","SANTA MARIA DEL ORO","CERRO BLANCO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",60,"21°22'35.96""","104°37'18.08""",960,"ARTURO NUÑOZ MONTES","2001268630",21.3766555555556,-104.621688888889
"183-202.18",200,"ESC. SEC. CANDIDO SALAZAR","SANTA MARIA DEL ORO","CERRO BLANCO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",30,"21°22'35.96""","104°37'18.08""",960,"ARTURO NUÑOZ MONTES","2001268631",21.3766555555556,-104.621688888889
"183-202.19",201,"ESC. PRIM. FRANCISCO I. MADERO","SANTA MARIA DEL ORO","COFRADÍA DE ACUITAPILCO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",60,"21°20'42.66""","104°31'30.44""",740,"FRANCISCO RODRIGUEZ AGUILAR","2001268521",21.3451833333333,-104.525122222222
"183-202.20",202,"ESC. SEC. FRANCISCO VILLA","SANTA MARIA DEL ORO","COFRADÍA DE ACUITAPILCO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",30,"21°20'42.66""","104°31'30.44""",740,"FRANCISCO RODRIGUEZ AGUILAR","2001268522",21.3451833333333,-104.525122222222
"203-222.1",203,"PRE-ESCOLAR AMADO NERVO","SANTA MARIA DEL ORO","COFRADÍA DE ACUITAPILCO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",20,"21°20'42.66""","104°31'30.44""",740,"FRANCISCO RODRIGUEZ AGUILAR","2001268523",21.3451833333333,-104.525122222222
"203-222.2",204,"ESC. PRIM. MARTIRES DE LA REVOLUCION","SANTA MARIA DEL ORO","ZAPOTANITO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",60,"21°18'20.32""","104°36'34.22""",1160,"ROMAN CIENFUEGOS MOTA","3272440055",21.3056444444444,-104.609505555556
"203-222.3",205,"ESC. SEC. CRISPIN ULLOA CIENFUEGOS","SANTA MARIA DEL ORO","ZAPOTANITO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",30,"21°18'20.32""","104°36'34.22""",1160,"ROMAN CIENFUEGOS MOTA","3272440055",21.3056444444444,-104.609505555556
"203-222.4",206,"PRE-ESCOLAR LEONA VICARIO","SANTA MARIA DEL ORO","ZAPOTANITO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",30,"21°18'20.32""","104°36'34.22""",1160,"ROMAN CIENFUEGOS MOTA","3272440055",21.3056444444444,-104.609505555556
"203-222.5",207,"ESC. PRIM. MIGUEL HIDALGO","SANTA MARIA DEL ORO","SAN LEONEL","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",60,"21°20'59.84""","104°42'08.16""",1100,"ARTURO GAMBOA LOPEZ","3272190188",21.3499555555556,-104.702266666667
"203-222.6",208,"ESC. PRIM. FRANCISCO I. MADERO","SANTA MARIA DEL ORO","SAN LEONEL","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",30,"21°20'59.84""","104°42'08.16""",1100,"ARTURO GAMBOA LOPEZ","3272190188",21.3499555555556,-104.702266666667
"203-222.7",209,"PRE-ESCOLAR AURORA VELAZQUEZ RODRIGUEZ","SANTA MARIA DEL ORO","SAN LEONEL","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",30,"21°20'59.84""","104°42'08.16""",1100,"ARTURO GAMBOA LOPEZ","3272190188",21.3499555555556,-104.702266666667
"203-222.8",210,"ESC. PRIM. DANIEL DELGADILLO","SANTA MARIA DEL ORO","CHAPALILLA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",80,"21º11'24.32""","104º38'26.88""",880,"SANTOS RIVERA AVILA","3272444408",21.1900888888889,-104.6408
"203-222.9",211,"ESC. SEC. EMILIANO ZAPATA","SANTA MARIA DEL ORO","CHAPALILLA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",60,"21º11'24.32""","104º38'26.88""",880,"SANTOS RIVERA AVILA","3272444408",21.1900888888889,-104.6408
"203-222.10",212,"PRE-ESCOLAR LAZARO CARDENAS","SANTA MARIA DEL ORO","CHAPALILLA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",30,"21º11'24.32""","104º38'26.88""",880,"SANTOS RIVERA AVILA","3272444408",21.1900888888889,-104.6408
"203-222.12",214,"ESCUELA PRIMARIA  “JUAN ESCUTIA”","SANTIAGO IXCUINTLA","JUAREZ Y GALEANA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",160,"21º48'36.17""","105º12'31.53""",40,"DIRECTOR","323-2350731",21.8100472222222,-105.208758333333
"203-222.13",215,"ESCUELA PRIMARIA "" TENIENTE CORONEL ""","SANTIAGO IXCUINTLA","JIMENEZ Y CARDENAS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",300,"21ª48'40.61""","105ª12'58.652",40,"DIRECTOR","323-2350110",21.8112805555556,-105.216291666667
"203-222.14",216,"ESCUELA “JUANA DE ASBAJE”","SANTIAGO IXCUINTLA","MORELOS ENTRE 20 DE NOV. Y ZARAGOZA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",180,"21º48'29.27""","105º12'23.64""",40,"DIRECTOR","323-2350744",21.8081305555556,-105.206566666667
"203-222.15",217,"ESCUELA PRIMARIA             "" EDUARDO MARTINEZ""","SANTIAGO IXCUINTLA","20 DE NOVIEMBRE ZONA CENTRO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",220,"21º48'30.61""","105º12'24.78""",40,"DIRECTOR","323-2350280",21.8085027777778,-105.206883333333
"203-222.16",218,"ESCUELA PRIMARIA SALVADOR DIAZ DE LEON","SANTIAGO IXCUINTLA","LAZARO CARDENAS Y JIMENEZ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"21º48'55.77""","105º12'36.16""",40,"CRUZ PEÑA UREÑA","PCM: 323-2353220                     CEL. 323-1063925",21.8154916666667,-105.210044444444
"203-222.17",219,"ESCUELA SECUNDARIA LEYES DE REFORMA","SANTIAGO IXCUINTLA","ECHEVERRIA Y LUIS FIGUEROA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",220,"21º48'50.07""","105º12'30.56""",40,"DIRECTOR","323-2350784",21.8139083333333,-105.208488888889
"203-222.18",220,"UNIVERSIDAD TECNOLOGICA DE LA COSTA","SANTIAGO IXCUINTLA","KM. 5 CARRET. A SANTIAGO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",500,"21º48'59.89""","105º11'46.33""",40,"RECTOR","PCM: 323-2353220                     CEL. 323-1063925",21.8166361111111,-105.196202777778
"203-222.19",221,"ESC. PREPARATORIA NO. 2","SANTIAGO IXCUINTLA","NICOLAS ECHEVARRIA Y MEXICO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",1000,"21º48'47.84""","105º12'11.74""",40,"DIRECTOR","3232350656",21.8132888888889,-105.203261111111
"203-222.20",222,"ESCUELA PRIMARIA RAFAEL BUELNA","SANTIAGO IXCUINTLA","EL CORTE","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",300,"21ª43'10.52""","105ª14'39.54""",10,"ANGEL ALFONSO RODRIGUEZ","323-2362193",21.7195888888889,-105.244316666667
"223-242.1",223,"SALON EJIDAL","SANTIAGO IXCUINTLA","EL CORTE","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",80,"21ª43'10.52""","105ª14'39.54""",10,"YOLANDA IBARRA ARELLLANO","323-2362193",21.7195888888889,-105.244316666667
"223-242.2",224,"ESCUELA TELESECUNDARIA","SANTIAGO IXCUINTLA","EL CORTE","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",150,"21ª43'10.52""","105ª14'39.54""",10,"JUAN ESCUTIA NO. 6","323-2362193",21.7195888888889,-105.244316666667
"223-242.3",225,"SALON EJIDAL","SANTIAGO IXCUINTLA","BOCA DE CAMICHIN","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",250,"21ª44'47.12""","105º29'22.88""",5,"PRESIDENTE DEL COMISARIADO EJIDAL","323-2349000                323-2349006",21.7464222222222,-105.489688888889
"223-242.4",226,"ESCUELA PRIMARIA GILBERTO FLORES MUÑOZ","SANTIAGO IXCUINTLA","PUERTA DE MANGOS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",160,"21º43'01.18""","105º20'07.14""",10,"JULIA CHAVARIN VARGAS","323-2330010",21.7169944444444,-105.335316666667
"223-242.5",227,"SALON EJIDAL","SANTIAGO IXCUINTLA","PUERTA DE MANGOS","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",250,"21º43'01.18""","105º20'07.14""",10,"PRESIDENTE DEL COMISARIADO EJIDAL","323-2330011",21.7169944444444,-105.335316666667
"223-242.6",228,"JARDIN DE NIÑOS GREGORIO TORRES QUINTERO","SANTIAGO IXCUINTLA","PUERTA DE MANGOS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"21º43'01.18""","105º20'07.14""",10,"NORMA ANGELICA GARCIA FONSECA","323-2330012",21.7169944444444,-105.335316666667
"223-242.7",229,"ESCUELA SECUNDARIA NARCISO BASEOLS","SANTIAGO IXCUINTLA","PUERTA DE MANGOS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",110,"21º43'01.18""","105º20'07.14""",10,"MARCO ANTONIO SATARAN SOTO","323-2330010",21.7169944444444,-105.335316666667
"223-242.8",230,"ESCUELA PRIMARIA REVOLUCION","SANTIAGO IXCUINTLA","BOTADERO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"21º45'17.71""","105º17'10.72""",10,"PROF. GILBERTO DELGADO LOPEZ","323-2354570",21.7549194444444,-105.286311111111
"223-242.9",231,"ESCUELA SECUNDARIA TECNICA RAFAEL MEJIA AMARAL","SANTIAGO IXCUINTLA","BOTADERO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"21º45'17.71""","105º17'10.72""",10,"PROF. MARCOS DELGADILLO LARIOS","323-2354571",21.7549194444444,-105.286311111111
"223-242.10",232,"SALON EJIDAL","SANTIAGO IXCUINTLA","BOTADERO","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",250,"21º45'17.71""","105º17'10.72""",10,"PRESIDENTE DEL COMISARIADO EJIDAL","323-2354570             323-2354571    ",21.7549194444444,-105.286311111111
"223-242.11",233,"SALON EJIDAL","SANTIAGO IXCUINTLA","CERRITOS","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",250,"21º46'51.92""","105º16'16.62""",10,"PRESIDENTE DEL COMISARIADO EJIDAL","PCM: 323-2353220                     CEL. 323-1063925",21.7810888888889,-105.271283333333
"223-242.12",234,"ESCUELA SECUNDARIA FRANCISCO JAVIER CLAVILLERO","SANTIAGO IXCUINTLA","EL CAPOMAL","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",90,"21º50'22.46""","105º07'16.32""",45,"MARIA ENGRACIA RUIZ ROBLES","323-2376176",21.8395722222222,-105.1212
"223-242.13",235,"ESCUELA PRIMARIA FRANCISCO GONZALEZ BOCANEGRA","SANTIAGO IXCUINTLA","EL CAPOMAL","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",150,"21º50'22.46""","105º07'16.32""",45,"ROCIO OLEA BUENROSTRO","323-2376177",21.8395722222222,-105.1212
"223-242.14",236,"ESCUELA PRIMARIA","SANTIAGO IXCUINTLA","AMAPA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",250,"21º46'59.28""","105º15'22.40""",10,"DIRECTOR","PCM: 323-2353220                     CEL. 323-1063925",21.7831333333333,-105.256222222222
"223-242.15",237,"SALON EJIDAL","SANTIAGO IXCUINTLA","AMAPA","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",250,"21º46'59.28""","105º15'22.40""",10,"PRESIDENTE DEL COMISARIADO EJIDAL","PCM: 323-2353220                     CEL. 323-1063925",21.7831333333333,-105.256222222222
"223-242.16",238,"ESCUELA PRIMARIA VENUSTIANO CARRANZA","SANTIAGO IXCUINTLA","VILLA HIDALGO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",240,"21ª44'44.74""","105º13'53.97""",30,"ESPERANZA FLORES RODRIGUEZ","PCM: 323-2353220                     CEL. 323-1063925",21.7457611111111,-105.231658333333
"223-242.17",239,"SALON EJIDAL","SANTIAGO IXCUINTLA","VILLA HIDALGO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",300,"21ª44'28.75""","105ª13'59.33""",30,"JUAN GONZALES LOPEZ","PCM: 323-2353220                     CEL. 323-1063925",21.7413194444444,-105.233147222222
"223-242.18",240,"JARDIN DE NIÑOS BLANCA SANTANDER","SANTIAGO IXCUINTLA","VILLA HIDALGO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",170,"21ª44'16.29""","105ª14'03.27""",30,"MA. DEL ROSARIO HERNANDEZ GARCIA","PCM: 323-2353220                     CEL. 323-1063925",21.7378583333333,-105.234241666667
"223-242.19",241,"ESCUELA CECYTEN PLANTEL 05","SANTIAGO IXCUINTLA","VILLA HIDALGO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",210,"21º44'12.41""","105º13'52.61""",30,"PEDRO RUIZ ALCANTAR","PCM: 323-2353220                     CEL. 323-1063925",21.7367805555556,-105.231280555556
"223-242.20",242,"ESCUELA PRIMARIA","SANTIAGO IXCUINTLA","CAÑADA DEL TABACO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",250,"21º42'35.76""","105º21'15.32""",10,"DIRECTOR","323-2389118",21.7099333333333,-105.354255555556
"243-262.1",243,"SALON EJIDAL","SANTIAGO IXCUINTLA","CAÑADA DEL TABACO","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",250,"21º42'35.76""","105º21'15.32""",10,"PRESIDENTE DEL COMISARIADO EJIDAL","323-2389119",21.7099333333333,-105.354255555556
"243-262.2",244,"ESCUELA PRIMARIA “ESTADO DE MORELOS” TEL. 01389-253-07-36","TECUALA","GALEANA Y COLIMA ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",260,"22º23'41.23""","105º27'05.65""",15,"PROFRA. MARTHA ALICIA CONTRERAS ALARCON","389-2530736",22.3947861111111,-105.451569444444
"243-262.4",246,"ESCUELA PRIMARIA “CONSTITUCIÓN DE 1857”  TEL. 01389-253-15-66","TECUALA","ENTRADA CARRETERA TECUALA-ACAPONETA (LOCALIDAD TECUALA)","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",500,"22º24'11.11""","105º27'25.30""",15,"DIR. ARON CUAUTEMOC ANGULO GOMEZ O NICOLAS RAMOS GARCIA ","ESC 389-2531566           CEL  325-1025932                 CASA 389-2533186         CEL DIRRECTOR 311-1088417",22.4030861111111,-105.457027777778
"243-262.5",247,"ESCUELA PRIMARIA “LEONA VICARIO”  TEL. 01389-253-01-00","TECUALA","ZARAGOZA Y PUEBLA ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"22º23'41.62""","105º27'36.05""",15,"MARCO ANTONIO CEDANO GONZALEZ ","389-2530100            CASA 389-2503421",22.3948944444444,-105.460013888889
"243-262.7",249,"ESCUELA PRIMARIA “COLEGIO MOCTEZUMA”  TEL. 01389-253-02-79","TECUALA","MÉXICO E ITURBIDE","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",260,"22º24'08.29""","105º27'27.51""",15,"TEOFILO RENDON GARCIA ","389-2530279           CEL 389-1027961",22.4023027777778,-105.457641666667
"243-262.8",250,"ESCUELA PREPARATORIA No. 4 “LUIS CASTILLO L.”   TEL. 01389-253-22-47","TECUALA","MÉXICO Y AMADO NERVO ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",400,"22º24'09.91""","105º27'26.19""",15,"LIC. MARIANO LIZARRAGA AVALOS","389-2532247",22.4027527777778,-105.457275
"243-262.9",251,"ESC. SEC. FEDERAL “NIÑOS HÉROES”   TEL. 01389-253-08-48","TECUALA","LUIS DONALDO COLSIO ESQ. NIÑOS HEROES","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",500,"22º24'13.61""","105º27'18.27""",15,"OSCAR JAVIER CASTORENA GOMEZ ","389-2530840            CASA 389-2532072",22.4037805555556,-105.455075
"243-262.10",252,"ESCUELA SECUDARIA “AMADO NERVO” ","TECUALA","JUÁREZ Y GUADALAJARA ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",500,"22º23'44.57""","105º27'28.30""",15,"BERTHA DORA GARIBAY BARRON ","389-2530213        CEL 311-2667307",22.3957138888889,-105.457861111111
"243-262.11",253,"JARDÍN DE NIÑOS “BERTHA VON GLUMER”","TECUALA","COLIMA Y ABASOLO ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"22º23'42.72""","105º27'06.12""",15,"PROFRA. MARIA DEL  CARMEN LOPEZ DELGADILLO","PCM: 389-2532155   CEL. 389-1024970",22.3952,-105.4517
"243-262.12",254,"JARDÍN DE NIÑOS “CUAUHTÉMOC”","TECUALA","COLIMA Y AMADO NERVO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"22º24'08.56""","105º27'13.47""",15,"DIRECTOR DEL PLANTEL ","389-2530218",22.4023777777778,-105.453741666667
"243-262.13",255,"JARDÍN DE NIÑOS “JUAN ESCUTIA”","TECUALA","HIDALGO No. 50 ORIENTE ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",140,"22º23'50.30","105º27'24.09""",15,"DIRECTOR DEL PLANTEL ","389-2530107",22.3973055555556,-105.456691666667
"243-262.14",256,"EDIFICIO DE LA CTM","TECUALA","ZAROAGOZA OTE. S/N","GREMIO LABORAL","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"22º23'47.05""","105º27'08.80""",15,"PROFRA NORMA DELIA DIAZ MORENO","389-2532946",22.3964027777778,-105.452444444444
"243-262.15",257,"SALON EJIDAL DE TECUALA","TECUALA","ZARAGOZA Y PUEBLA ","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",250,"22º23'39.35""","105º27'35.36""",15,"AGUSTIN JIMENEZ ESQUIVEL","389-2532334",22.3942638888889,-105.459822222222
"243-262.16",258,"D.I.F. MUNICIPAL","TECUALA","ESCOBEDO Y OAXACA","GOBIERNO MUNICIPAL","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"22º23'40.76""","105º27'23.82""",15,"SRA. LEONOR VAZQUEZ DE DIAZ ESCOBEDO","PCM: 389-2532155   CEL. 389-1024970",22.3946555555556,-105.456616666667
"243-262.17",259,"PRESIDENCIA MUNICIPAL","TECUALA","MEXICO SUR S/N","GOBIERNO MUNICIPAL","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"22º23'42.47","105º27'22.20""",15,"PRESIDENTE MUNICIPAL","389-2532155",22.3951305555556,-105.456166666667
"243-262.18",260,"EMERGENTES PRESIDENCIA MUNICIPAL","TEPIC","PUEBLA Y AMADO NERVO  S/N ZONA CENTRO","GOBIERNO MUNICIPAL","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"21º30'44.84""","104º53'33.52""",920,"PRESIDENTE MUNICIPAL","311-2165523",21.5124555555556,-104.892644444444
"243-262.19",261,"CONALEP","TEPIC","AV. CONALEP # 1 COL. ING AGRONOMO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",150,"21º31'39.32""","104º52'46.51""",915,"LETICIA DE LA PAZ AGUIAR DUEÑAS","311-2120919             CEL  311-1125755",21.5275888888889,-104.879586111111
"243-262.20",262,"ESC. LUIS ECHEVARRIA ALVARES","TEPIC","LUIS ECHEVARRIA # 40 COL. INFONAVIT EL MIRADOR","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",60,"21º31'29.78""","104º53'12.77""",915,"JOSE JUAN SANCHEZ TOPETE ","311-4564079          CEL 311-1842221",21.5249388888889,-104.886880555556
"263-282.1",263,"JARDÍN DE NIÑOS SIMON BOLIVAR","TEPIC","JOSE LIMON GUZMÁN # 34 COL. FCO. VILLA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",30,"21º31'44.18""","104º53'15.50""",915,"MARIA ELENA LOPEZ RIVERA","311-1006259",21.5289388888889,-104.887638888889
"263-282.2",264,"ESC. SEC. LAZARO CARDENAS","TEPIC","JILGUERO ESQ. COLIBRÍ COL. LAS AVES","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",60,"21º29'45.69""","104º52'51.99""",915,"PROF. BEATRIZ ROMERO VARGAS","311-2143055",21.496025,-104.881108333333
"263-282.3",265,"ESC. SEC. TÉCNICA REVOLUCION No. 36","TEPIC","MARTIRES DEL 26 DE SEP. ESQ. FCO. VILLA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",130,"21º30'14.70""","104º52'26.74""",915,"SARA CARMEN MARTINEZ RODARTE","311-2165733",21.5040833333333,-104.874094444444
"263-282.4",266,"ESC. SEC. JUAN ESPINOSA BÁVARA","TEPIC","CALLE 8 ESQ. MORELOS COL. EL RODEO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"21º31'29.90""","104º55'16.20""",940,"J JESUS PARADA RUBIO ","311-2127030",21.5249722222222,-104.921166666667
"263-282.5",267,"COLEGIO CRISTÓBAL COLON","TEPIC","BOULEVARD TEPIC-XALISCO S/N","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",300,"21º29'23.08""","104º53'42.39""",930,"ROBERTO ALDRETE PADILLA ","311-2131314",21.4897444444444,-104.895108333333
"263-282.6",268,"COLEGIO CRISTÓBAL COLON","TEPIC","FRENTA A CETIS 100","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",300,"21º28'42.33""","104º53'41.27""",930,"CIPRIANO ZUÑIGA A.","311-2107003",21.478425,-104.894797222222
